[train] Loaded 50000 real images  |  batches: 390
[valid] Loaded 10000 real images  |  batches: 79
[test] Loaded 10000 real images  |  batches: 79
Cached 10000 real images for FID -> output/fid_cache/valid_real_128
/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
  Step 1/6 | Epoch 218/300 | alpha: 1.00 | D loss: 0.0163 | G loss: 9.5370
  Step 1/6 | Epoch 219/300 | alpha: 1.00 | D loss: 0.0134 | G loss: 9.4597
  Step 1/6 | Epoch 220/300 | alpha: 1.00 | D loss: 0.0131 | G loss: 9.5364
  Step 1/6 | Epoch 221/300 | alpha: 1.00 | D loss: 0.0140 | G loss: 9.5197
  Step 1/6 | Epoch 222/300 | alpha: 1.00 | D loss: 0.0143 | G loss: 9.4679
  Step 1/6 | Epoch 223/300 | alpha: 1.00 | D loss: 0.0129 | G loss: 9.4952
  Step 1/6 | Epoch 224/300 | alpha: 1.00 | D loss: 0.0142 | G loss: 9.4744
  Step 1/6 | Epoch 225/300 | alpha: 1.00 | D loss: 0.0149 | G loss: 9.3931
  Step 1/6 | Epoch 226/300 | alpha: 1.00 | D loss: 0.0130 | G loss: 9.4463
  Step 1/6 | Epoch 227/300 | alpha: 1.00 | D loss: 0.0112 | G loss: 9.4597
  Step 1/6 | Epoch 228/300 | alpha: 1.00 | D loss: 0.0130 | G loss: 9.4506
  Step 1/6 | Epoch 229/300 | alpha: 1.00 | D loss: 0.0140 | G loss: 9.4546
  Step 1/6 | Epoch 230/300 | alpha: 1.00 | D loss: 0.0139 | G loss: 9.4861
  Step 1/6 | Epoch 231/300 | alpha: 1.00 | D loss: 0.0149 | G loss: 9.5100
  Step 1/6 | Epoch 232/300 | alpha: 1.00 | D loss: 0.0129 | G loss: 9.4540
  Step 1/6 | Epoch 233/300 | alpha: 1.00 | D loss: 0.0117 | G loss: 9.4417
  Step 1/6 | Epoch 234/300 | alpha: 1.00 | D loss: 0.0123 | G loss: 9.4210
  Step 1/6 | Epoch 235/300 | alpha: 1.00 | D loss: 0.0157 | G loss: 9.4943
  Step 1/6 | Epoch 236/300 | alpha: 1.00 | D loss: 0.0130 | G loss: 9.4878
  Step 1/6 | Epoch 237/300 | alpha: 1.00 | D loss: 0.0121 | G loss: 9.4598
  Step 1/6 | Epoch 238/300 | alpha: 1.00 | D loss: 0.0129 | G loss: 9.3872
  Step 1/6 | Epoch 239/300 | alpha: 1.00 | D loss: 0.0104 | G loss: 9.3496
  Step 1/6 | Epoch 240/300 | alpha: 1.00 | D loss: 0.0127 | G loss: 9.3421
  Step 1/6 | Epoch 241/300 | alpha: 1.00 | D loss: 0.0133 | G loss: 9.3019
  Step 1/6 | Epoch 242/300 | alpha: 1.00 | D loss: 0.0105 | G loss: 9.2831
  Step 1/6 | Epoch 243/300 | alpha: 1.00 | D loss: 0.0115 | G loss: 9.2500
  Step 1/6 | Epoch 244/300 | alpha: 1.00 | D loss: 0.0125 | G loss: 9.2318
  Step 1/6 | Epoch 245/300 | alpha: 1.00 | D loss: 0.0121 | G loss: 9.2501
  Step 1/6 | Epoch 246/300 | alpha: 1.00 | D loss: 0.0119 | G loss: 9.2430
  Step 1/6 | Epoch 247/300 | alpha: 1.00 | D loss: 0.0128 | G loss: 9.2053
  Step 1/6 | Epoch 248/300 | alpha: 1.00 | D loss: 0.0109 | G loss: 9.1202
  Step 1/6 | Epoch 249/300 | alpha: 1.00 | D loss: 0.0112 | G loss: 9.2138
  Step 1/6 | Epoch 250/300 | alpha: 1.00 | D loss: 0.0142 | G loss: 9.1588
  Step 1/6 | Epoch 251/300 | alpha: 1.00 | D loss: 0.0121 | G loss: 9.1203
  Step 1/6 | Epoch 252/300 | alpha: 1.00 | D loss: 0.0131 | G loss: 9.0514
  Step 1/6 | Epoch 253/300 | alpha: 1.00 | D loss: 0.0135 | G loss: 9.0434
  Step 1/6 | Epoch 254/300 | alpha: 1.00 | D loss: 0.0134 | G loss: 9.0023
